"ID","Processo SEI","Ano","Objetivo","Região","Situação","Tipo Documento","Destinatário","Direta/Indireta","Programada","SEI Documento","Data","Constatações","Não Conformes","Recomendações","Determinações","TN","AI","TAC","Conformidade","Latitude","Longitude"
"12","00197-00000990/2023-11","2024","Este relatório de fiscalização indireta tem por objetivo geral analisar as informações apresentadas pela Caesb por meio da Nota Técnica Conjunta PAS-PAN-PRO id. 138700527,  que trata das Ordens de Serviço para reparo de vazamento de água realizadas entre janeiro e dezembro de 2023.
O objetivo específico é evidenciar a comunicação feita pela Caesb aos clientes reclamantes quando o tempo de reparo de vazamento de água superou o prazo de 48 horas (comunicação exigida pelo art. 2º da Lei Distrital n.º 5618/2016).","Plano Piloto","Em Andamento","Fiscalização do SAA","","Indireta","Programada","138983513","","6","0","0","0","1","0","0","100","-15.790554445885567","-47.879904030274865"
"13","00197-00001238/2024-79","2024","O objetivo dessa ação foi fiscalizar o lançamento de efluente na área de nascente; a troca das tampas dos poços de visita do sistema coletor localizado no SMDB CJ 21, 22 e 24; e uma suposta rede de esgotamento sanitária exposta por uma erosão.","Lago Sul","Em Andamento","Fiscalização do SES","","Direta","Não programada","141843660","","3","3","0","2","0","0","0","0","-15.825011859671806","-47.84020237758135"
"14","00197-00001584/2018-17","2024","O objetivo dessa ação foi fiscalizar o status da operação do sistema Corumbá IV","Valparaíso e Luziânia - Goiás","Concluída","Fiscalização do SAA","","Direta","Programada","144065795","","6","0","0","0","0","0","0","100","",""
"15","00197-00002116/2024-08","2024","O objetivo dessa ação foi fiscalizar o andamento das obras de implantação de 3 novos reatores anaeróbios","Paranoá","Em Andamento","Fiscalização do SES","","Direta","Programada","146226433","","8","0","0","0","0","0","0","100","",""
"16","00197-00001448/2024-67","2024","O objetivo dessa ação foi verificar a informação da Caesb acerca das restrições ambientais que de acordo com a concessionária impedem a efetivação de ligação de água no imóvel no qual residem Alan da Silva e Daiane Ribeiro da Silva Barreto","Gama","Concluída","Fiscalização do SAA","","Direta","Não programada","139589689","","1","0","0","0","0","0","0","100","-16.01749441438913","-48.06471230487456"
"17","00197-00005112/2018-25","2024","O objetivo dessa ação foi fiscalizar o andamento das obras da captação superficial de água bruta CAP.OLA.001 e elevatória de água bruta EAB.OLA.001 do Córrego Olaria","Brazlândia","Concluída","Fiscalização do SAA","","Direta","Programada","136895690","","3","0","0","0","0","0","0","100","",""
"18","00197-00001395/2024-84","2024","","","","Fiscalização do SAA","","Indireta","","","","","","","","","","","","",""
"19","00197-00001583/2024-11","2024","O objetivo dessa ação foi de vistoriar os novos sopradores adquiridos pela Caesb para eficiência energética no tratamento de efluentes","Lago Norte e Lago Sul","Concluída","Fiscalização do SES","","Direta","Programada","141696658","","4","0","0","0","0","0","0","100","",""
"20","00197-00002479/2024-35","2024","O objetivo dessa ação foi de vistoriar a região do Núcleo Rural Monjolo em virtude de denúncia de recorrente falta no abastecimento de água pela prestadora de serviço Caesb","Recanto das Emas","Em Andamento","Fiscalização do SAA","","Direta","Não programada","147164406","","4","1","0","1","0","0","0","75","-15.916838332288547","-48.05821198319468"
"21","00197-00002124/2020-12","2024","Este relatório de fiscalização indireta visa analisar as ações reportadas no Relatório PGOG Nº 1846859 nº (147959480) para melhorias nos subsistemas de distribuição de água de Sobradinho e de Planaltina, abastecidos pela captação de água do ribeirão Pipiripau","Plano Piloto","Concluída","Fiscalização do SAA","","Indireta","Programada","149912610","","8","0","0","0","0","0","0","100","-15.79713267983869","-47.89179364094257"
"22","00197-00003963/2023-09","2024","O objetivo dessa ação foi verificar as obras de expansão e melhoria da rede coletora de esgoto e o trabalho em relação à manutenção da rede","Sol Nascente/Pôr do Sol","Concluída","Fiscalização do SES","","Direta","Programada","147907676","","4","0","0","0","0","0","0","100","",""
"23","00197-00002186/2024-58","2024","O objetivo dessa ação foi de fazer uma visita técnica em conjunto com a AGR - Agência Goiana de Regulação na ETE Alagado e na Elevatória de Esgoto Boa Vista.","Santa Maria e Novo Gama","Concluída","Fiscalização do SES","","Direta","Não programada","148149350","","3","0","1","0","0","0","0","100","",""
"24","00197-00001584/2018-17","2024","O objetivo dessa ação foi de fiscalizar as obras da implementação da subadutora interligando o sistema Corumbá com a região do sistema Paranoá Sul","Gama","Concluída","Fiscalização do SAA","","Direta","Programada","151042014","","4","0","0","0","0","0","0","100","-16.02204028218099","-48.05325313393173"
"25","00197-00005112/2018-25","2024","O objetivo dessa ação foi fiscalizar o andamento das obras da captação superficial de água bruta CAP.OLA.001 e elevatória de água bruta EAB.OLA.001 do Córrego Olaria e o status da operação das captações do Barrocão e do Capão da Onça","Brazlândia","Concluída","Fiscalização do SAA","","Direta","Programada","151152549","","4","1","0","0","1","0","0","75","",""
"26","00197-00002800/2024-81","2024","A fiscalização teve como objetivo de vistoriar a Unidade de Gerenciamento de Lodo - UGL, que recebe o lodo proveniente das ETEs em operação no DF","Samambaia","Concluída","Fiscalização do SES","","Direta","Programada","152104558","","2","0","0","0","0","0","0","100","-15.880717946789863","-48.09130048319004"
"27","00197-00003272/2024-88","2024","O objetivo desta ação foi realizar uma vistoria no sistema Paranoá Sul e averiguar as ocorrências de falta d'água na região abastecida pelo sistema verificadas no início de setembro.","São Sebastião","Em Andamento","Fiscalização do SAA","","Direta","Não programada","151625249","","6","3","0","3","1","0","0","50","",""
"28","00197-00002124/2020-12","2024","O objetivo desta ação foi realizar uma vistoria no sistema de abastecimento Sobradinho/Planaltina, na unidade de captação e na ETA Pipiripau, para averiguar as ocorrências de falta d'água dos meses de agosto e setembro na região abastecida por esse sistema","Planaltina","Concluída","Fiscalização do SAA","","Direta","Programada","152981014","","7","3","0","6","1","0","0","57","-15.615510178493615","-47.65022631607079"
"29","00197-00003630/2024-52","2024","O objetivo dessa ação foi fiscalizar os resultados das análises de cianobactérias na captação da ETA Lago Norte","Plano Piloto","Concluída","Fiscalização do SAA","","Indireta","Não programada","153199711","","3","1","0","2","0","0","0","67","-15.797997810599593","-47.88582657466202"
"30","00197-00002763/2024-10","2024","O objetivo dessa ação foi averiguar eventos de escoamento de esgoto no córrego do Urubu em virtude de denúncia encaminhada a esta superintendência","Lago Norte","Concluída","Fiscalização do SES","","Direta","Não programada","159055722","","1","0","0","0","0","0","0","100","-15.739603422026102","-47.840281551175686"
"31","00197-00004484/2024-82","2024","O objetivo foi averiguar uma suposta mancha na superfície do lago, encontrada nas proximidades da 3ª Ponte, Ponte Jucelino Kubitschek","Plano Piloto","Em Andamento","Fiscalização do SES","","Direta","Não programada","158592348","","3","0","0","2","0","0","0","100","-15.798913543591864","-47.891316236828295"
"32","00197-00002479/2024-35","2025","O objetivo dessa ação foi de vistoriar as obras em andamento na região do Núcleo Rural Monjolo para mitigar o problema das constantes ocorrências de falta de água.","Recanto das emas","Concluída","Fiscalização do SAA","","Direta","Não programada","161658498","","3","0","0","1","0","0","0","100","",""
"33","00197-00000216/2025-72","2025","O objetivo dessa ação foi averiguar uma denúncia de constantes vazamentos na rede de água no Condomínio Boungainville, em Vicente Pires.","Vicente pires","Concluída","Fiscalização do SAA","","Direta","Não programada","161408906","","4","0","0","3","0","0","0","100","",""
"34","00197-00003184/2024-86","2025","O objetivo dessa ação foi averiguar, em conjunto com a Caesb, possível irregularidade nas instalações de esgoto da casa 27, do conjunto A, da Rua 21, em São Sebastião, que de acordo com denúncia do proprietário da residência ao lado (casa 25), estaria provocando escoamento de esgoto para o seu lote.","São Sebastião","Concluída","Fiscalização do SES","","Direta","Não programada","163787833","","1","0","0","2","0","0","0","100","",""
"35","00197-00000099/2025-47","2025","O objetivo dessa ação foi averiguar uma denúncia feita pelo canal de ouvidoria da ADASA.","Plano Piloto","Concluída","Fiscalização do SES","","Direta","Não programada","162997157","","8","0","0","4","0","0","0","100","-15.789477240529463","-47.87837202282781"
"36","00197-00002697/2018-21","2025","O objetivo desse relatório é apresentar o relato do monitoramento desta superintendência em relação ao segundo semestre de 2024 das ações da Caesb voltadas ao controle e à redução de perdas no sistema de distribuição de água.","Plano Piloto","Concluída","Fiscalização do SAA","","Indireta","Programada","166337769","","12","0","0","3","0","0","0","100","-15.785974859323463","-47.89076529022171"
"37","00197-00002124/2020-12","2025","Analisar as ações reportadas no Relatório PGOG Nº 2147578 nº (162290847) para melhorias nos subsistemas de distribuição de água de Sobradinho e de Planaltina, abastecidos pela captação de água do ribeirão Pipiripau.","Plano Piloto","Concluída","Fiscalização do SAA","","Indireta","Programada","16582297","","9","0","0","1","0","0","0","100","-15.796940387736425","-47.88980014314528"
"38","00197-00001238/2025-50","2025","Avaliar a conformidade dos padrões estabelecidos pelo Ministério da Saúde e pela Resolução Adasa n.º 08/2016, da qualidade de água tratada distribuída à população do Distrito Federal tendo como base os anos de 2022, 2023 e 2024.","Plano Piloto","Concluída","Fiscalização do SAA","","Indireta","Programada","167263768","","13","1","0","4","1","","","92.31","-15.793585951812744","-47.87860050699172"
"39","00197-00001484/2025-10","2025","Apurar uma denúncia de baixa pressão no abastecimento de água nas residências de uma rua em Sobradinho II.","Sobradinho II","Concluída","Fiscalização do SAA","","Direta","Não programada","168840646","","3","0","1","0","0","0","0","100","-15.624118193990851","-47.803546073998724"
"40","00197-00000476/2021-14","2025","Averiguar o progresso das obras das subadutoras de interligação dos Sistemas Descoberto/Santa Maria (SAT.TAG.011) e verificar se a população da região está sendo impactada por interrupções no abastecimento de água resultante da obra.","Águas Claras","Concluída","Fiscalização do SAA","","Direta","Não programada","169978904","","2","0","0","0","0","0","0","100","",""
"41","00197-00001471/2025-32","2025","Realizar uma vistoria no Sistema Paranoá Norte e averiguar o cumprimento das obras previstas no Plano de Exploração","Sobradinho","Concluída","Fiscalização do SAA","","Direta","Programada","170053595","","4","0","0","0","0","0","0","100","-15.649143592884977","-47.78467816517109"
"42","00197-00001584/2018-17","2025","Fiscalizar as obras da implementação da subadutora interligando o sistema Corumbá com a região do sistema Paranoá Sul.","Gama e Jardim Botânico","Concluída","Fiscalização do SAA","","Direta","Programada","173668122","","3","0","0","0","0","0","0","100","",""
"43","00197-00001584/2018-17","2025","O objetivo desta ação foi obter informações atualizadas sobre a operação do sistema Corumbá IV.","Luziânia e Valparaíso","Concluída","Fiscalização do SAA","","Direta","Programada","175196138","","3","0","0","0","0","0","0","100","",""
"44","00197-00001584/2018-17","2025","O objetivo desta ação foi obter informações atualizadas sobre a operação do sistema Corumbá IV.","Luziânia e Valparaíso","Concluída","Fiscalização do SAA","","Direta","Programada","175196138","","3","0","0","0","0","0","0","100","",""
"45","00197-00002347/2025-94","2025","O objetivo desta ação foi fiscalizar a execução do convênio firmado entre a Adasa e a Emater para a instalação de 67 fossas sépticas ecológicas (Convênio n.º 04/2024 - ADASA/EMATER (159237340).","Sobradinho","Concluída","Fiscalização do SES","","Direta","Programada","174479295","","3","0","1","0","0","0","0","100","-15.654478118062778","-47.78038301555847"
"46","00197-00002116/2024-08","2025","Vistoria da obra de implantação dos novos reatores e do novo tratamento preliminar da ETE Paranoá","Paranoá","Concluída","Fiscalização do SES","","Direta","Programada","146226433","","8","0","0","0","0","0","0","100","",""
"47","00197-00002239/2025-11","2025","Este relatório de monitoramento regular tem o objetivo de apresentar uma análise dos dados referentes à eficiência de tratamento das Estações de Tratamento de Esgosto (ETEs) do Distrito Federal no ano de 2024.","Plano Piloto","Em Andamento","Fiscalização do SES","","Indireta","Programada","173810926","","13","0","3","0","0","0","0","100","-15.800803312093931","-47.87472500396293"
"48","00197-00002567/2025-18","2025","O objetivo dessa ação foi analisar as informações apresentadas no Relatório de Execução de 2024 do Plano de Exploração.","Plano Piloto","Concluída","Rotina","","Indireta","Programada","176496708","","8","0","1","0","1","1","0","100","-15.78640627411627","-47.89001293474042"
"49","00197-00002649/2019-14","2025","O objetivo desta ação foi obter informações atualizadas sobre as captações do subsistema de abastecimento de água Gama.","Gama","Em Andamento","Fiscalização do SAA","","Direta","Programada","179522965","","4","0","4","0","0","0","0","100","-16.015177829427","-48.070476632465464"
"50","00197-00002479/2024-35","2025","O objetivo dessa ação foi de vistoriar as obras em andamento na região do Núcleo Rural Monjolo para mitigar o problema das constantes ocorrências de falta de água.","Recanto das Emas","Concluída","Fiscalização do SAA","","Direta","Não programada","180077130","","4","0","0","1","0","0","0","100","-15.918753628950036","-48.0661349653803"
"51","00197-00002124/2020-12","2025","Este relatório de fiscalização indireta visa analisar as ações reportadas no Relatório PGOG N° 2374567 n°(177569153) para melhorias nos subsistemas de distribuição de água de Sobradinho e Planaltina, abastecidos pela captação de água do ribeirão Pipiripau.","Sobradinho e Planaltina","Concluída","Fiscalização do SAA","","Indireta","Programada","181841914","","7","0","0","2","0","0","0","100","",""
"52","00197-00001479/2025-07","2025","O objetivo dessa ação foi fiscalizar o andamento das obras e ,melhorias relatadas no Ofício 59 (171167836) e na Norma Técnica Conjunta 001/2025 (174307679).","Samambaia","Concluída","Fiscalização do SES","","Direta","Programada","182630024","","3","0","0","0","0","0","0","100","-15.870178708405925","-48.104881598029344"
"53","00001-00044778/2025-69","2025","O objetivo dessa ação foi verificar uma denúncia de extravasamento de esgoto em Poço de Visita (PV) da rede coletora de esgoto localizado na Sol Nascente e averiguar se houve contaminação do corrégo Ribeirão Taguatinga.","Ceilândia / Por do Sol","Concluída","Fiscalização SES","","Direta","Não programada","186358194","","0","0","0","0","0","0","0","","",""
"54","00197-00003977/2025-86","2025","O objetivo dessa ação foi verificar como esta o sistema de tratamento na ETA Lago Norte em relação ao aumento de cianobactérias na captação.","Lago Norte","Concluída","Fiscalização do SAA","","Direta","Programada","187290560","","4","0","0","6","0","0","0","100","-15.738186086078514","-47.85124347666181"
"55","00197-00002697/2018-21","2025","O objetivo desse relatório é apresentar o relato do monitoramento desta superintendência em relação ao segundo semestre de 2024 das ações da Caesb voltadas ao controle e à redução de perdas no sistema de distribuição de água.","Plano Piloto","Concluída","Fiscalização do SAA","","Indireta","Programada","188728267","","13","0","0","3","0","0","0","100","-15.80088252971218","-47.88636836872944"
"56","00197-00004418/2025-93","2026","O objetivo da ação fiscalizatória foi verificar a pressão disponível na rede de distribuição que atende a moradia da reclamante.","Plano Piloto","Não Concluída","Fiscalização SAA","","Direta","Programada","194586412","","3.00","1","0.00","3.00","1","1","0","66.67","-15.797814564374855","-47.889268551141384"
"57","00197-00001585/2026-63","2026","Objetivo de conhecer o local, bem como o planejamento da CAESB em relação ao projeto previsto para a unidade","Paranoá","Não Concluída","Fiscalização SAA","","Direta","Programada","202120909","","","","","","","","","","",""
"58","00197-00001479/2025-07","2026","O objetivo dessa ação fiscalizatória foi monitorar o andamento das obras na ETE Melchior.","Samambaia","Não Concluída","Fiscalização SAA","","Direta","Programada","201092023","2026-04-16","0.00","0","0.00","0.00","0","0","0","0","-15.775102","-47.94036"
"59","00197-00001471/2025-32","2026","O objetivo da ação fiscalizatória foi verificar as obras de melhoria executadas na Estação de Tratamento de Água Paranoá Norte, e também, avaliar os aspectos operacionais e a eficiência do sistema adotado na estação.","Paranoá","Não Concluída","Fiscalização SES","","Direta","Programada","201969833","2026-04-24","0.00","0","0.00","0.00","0","0","0","0","-15.775102","-47.94036"
"60","00197-00000608/2026-12","2026","O objetivo desta ação fiscalizatória foi verificar as obras de melhoria executadas na Estação de Tratamento de Esgoto de São Sebastião, e também, avaliar os aspectos operacionais e a eficiência do sistema de tratamento adotado na estação.","São Sebastião","Não Concluída","Fiscalização SES","","Direta","Programada","202498017","2026-05-05","0.00","0","0.00","0.00","0","0","0","0","-15.775102","-47.94036"
